field_1,accuracy,capturedAt,convergenc,latitude,longitude,planterChe,treeUuid,x,y,match
"14",3.216000000000000,1602112154406,CONVERGED,47.068029039999999,-122.938377950000003,"1",56c0333b-1249-4017-a473-bc2fe10737eb,1115826.663800300098956,31990.720852934664435,"2"
"24",3.216000000000000,1602112166407,CONVERGED,47.067993119999997,-122.938387980000002,"1",b2a62da8-de5f-4649-b07d-941664d1b661,1115823.806520315585658,31977.691338690023258,
"33",3.216000000000000,1602112178517,CONVERGED,47.067971370000002,-122.938370539999994,"1",3f3740b2-f5b4-4ecb-9e1f-9d56443ea3fc,1115827.934600787237287,31969.641524949638551,
"42",3.216000000000000,1602112189405,CONVERGED,47.067943229999997,-122.938364969999995,"1",0dac81aa-cbd5-4433-b4c0-a48875e32eee,1115829.041590593988076,31959.342572963010753,
"51",3.216000000000000,1602112201581,CONVERGED,47.067931119999997,-122.938374589999995,"1",49ec328a-ce12-40b6-a3ca-ed2581ddb30c,1115826.524003676371649,31954.992353214543982,
"59",3.216000000000000,1602112212426,CONVERGED,47.067907030000001,-122.938383049999999,"1",e731bce6-a402-41da-a349-8ee020384b55,1115824.175901679787785,31946.265833424538869,"1"
"69",3.216000000000000,1602112224409,CONVERGED,47.067899420000003,-122.938352390000006,"1",0c50a35b-4111-493b-8bec-064231d628a8,1115831.738751327618957,31943.281919958131766,
"78",3.216000000000000,1602112236657,CONVERGED,47.067934289999997,-122.938358370000003,"1",47b2c10f-eee6-4341-ad76-02d8258c6241,1115830.596752260578796,31956.037697127641877,
"89",3.216000000000000,1602112250548,CONVERGED,47.067969399999996,-122.938346710000005,"1",818c06d2-3d5c-4396-8634-5f6e0af622e6,1115833.852054115384817,31968.760742636397481,
"98",3.216000000000000,1602112262400,CONVERGED,47.067985450000002,-122.938330179999994,"1",164159cf-1f16-4858-a2d6-e13ce3f65e7d,1115838.130531535251066,31974.500544410224393,
"107",3.216000000000000,1602112274406,CONVERGED,47.068007780000002,-122.938329269999997,"1",45963a28-112b-4ea8-9eb8-ef700f5d5bc4,1115838.580028079682961,31982.636763352398702,
"116",3.216000000000000,1602112286409,CONVERGED,47.068029740000000,-122.938332680000002,"1",b20218f1-70be-4590-ab18-1f6d66db825d,1115837.949531198479235,31990.667512753178016,
"125",3.216000000000000,1602112298404,CONVERGED,47.068034410000003,-122.938303750000003,"1",1c560d7a-3edb-44ec-901e-d622b07f88ec,1115845.203855839092284,31992.173182394697506,
"135",3.216000000000000,1602112311569,CONVERGED,47.068011169999998,-122.938289690000005,"1",c49ccf25-84c9-4533-9628-f1a8d2aec7a7,1115848.474970107665285,31983.603098431005492,
"144",3.216000000000000,1602112323406,CONVERGED,47.067974249999999,-122.938295530000005,"1",b2c019ca-0621-4021-8548-e5e3940b3639,1115846.651642175391316,31970.180379523670126,
"152",3.216000000000000,1602112334409,CONVERGED,47.067950860000003,-122.938283100000007,"1",b66833d2-b5ee-43ee-86f4-34726cbd74d1,1115849.515159644884989,31961.566710381197481,
"163",3.216000000000000,1602112348402,CONVERGED,47.067922629999998,-122.938298660000001,"1",cb323ade-4aae-49f5-99f4-baa110008549,1115845.356841056840494,31951.378972901395173,
"172",3.216000000000000,1602112360411,CONVERGED,47.067886469999998,-122.938307890000004,"1",66d3c07c-0802-4b46-859e-0a48ba5ebbd7,1115842.696490814676508,31938.256488752282166,
"180",3.216000000000000,1602112372405,CONVERGED,47.067895159999999,-122.938257269999994,"1",3c0b5ffa-606c-4750-a5c5-873d943b6a3e,1115855.394885744899511,31941.080168213171419,
"190",3.216000000000000,1602112385406,CONVERGED,47.067931180000002,-122.938243340000000,"1",c8147fcd-2213-4983-9e8c-2912a34f6e13,1115859.224809182342142,31954.119567920297413,
"198",3.216000000000000,1602112397407,CONVERGED,47.067955970000000,-122.938252719999994,"1",831e11b3-1be6-49a6-9786-227ad68f2383,1115857.135142904007807,31963.222942598320515,
"208",3.216000000000000,1602112410489,CONVERGED,47.067975410000003,-122.938254000000001,"1",d8392974-9210-4aa7-b292-3b50ffb635f6,1115857.010174486087635,31970.320278682454955,
"216",3.216000000000000,1602112422409,CONVERGED,47.067994349999999,-122.938267629999999,"1",07f602d0-3346-4848-9f86-98efddb0a66d,1115853.803288119146600,31977.319476096585277,
"226",3.216000000000000,1602112435404,CONVERGED,47.068022380000002,-122.938296210000004,"1",bcdaa8ae-3c7c-4592-9128-79fdb6817085,1115846.962385721039027,31987.735161367880210,
"234",3.216000000000000,1602112447411,CONVERGED,47.068018449999997,-122.938237250000000,"1",c51fbe17-9946-4011-abff-ed22ec89c8d0,1115861.612710318528116,31985.900232997613784,"4"
"244",3.216000000000000,1602112460408,CONVERGED,47.067986890000000,-122.938216510000004,"1",49312fcc-0330-4dc8-bbab-611b5883cd76,1115866.465115824248642,31974.250810725985502,
"253",3.216000000000000,1602112473405,CONVERGED,47.067961130000000,-122.938214919999993,"1",138ce291-e026-47dd-8e68-fe6b60e31112,1115866.604274273384362,31964.846833744173637,
"262",3.216000000000000,1602112486410,CONVERGED,47.067929630000002,-122.938215339999999,"1",fcb17cda-af17-4e34-b74e-28a8d1660599,1115866.185390776954591,31953.363520766222791,
"271",3.216000000000000,1602112499426,CONVERGED,47.067900780000002,-122.938216700000012,"1",f4a80d50-68b9-4c6a-9f48-6879f6c886c8,1115865.558747552335262,31942.852912292259134,
"280",3.216000000000000,1602112512411,CONVERGED,47.067891779999997,-122.938228780000003,"1",72afdac7-adb2-465a-bc0a-1908863a7954,1115862.459296711254865,31939.653487600793596,
"289",3.216000000000000,1602112525404,CONVERGED,47.067891119999999,-122.938176700000000,"1",3a31f7e6-7bae-49c9-bf63-f237557cdfc5,1115875.428165005287156,31939.057839941368002,"3"
"297",3.216000000000000,1602112537408,CONVERGED,47.067917270000002,-122.938175840000000,"1",78fc565a-758b-4d0e-a234-495d11ce0b41,1115875.903295976808295,31948.587327411456499,
"307",3.216000000000000,1602112551414,CONVERGED,47.067947100000005,-122.938166260000003,"1",a335b76a-b65b-4eb5-8df9-aa14f713c2ed,1115878.587676492519677,31959.399256090928247,
"316",3.216000000000000,1602112564421,CONVERGED,47.067977470000002,-122.938163939999995,"1",5b9a8812-0949-429e-b766-aaa8602abb79,1115879.468654082156718,31970.457575113254279,
"325",3.216000000000000,1602112577407,CONVERGED,47.068003099999999,-122.938174970000006,"1",55d45c17-0bf1-4f88-abe2-db86e4f0cb28,1115876.976272334111854,31979.878492011248454,
"334",3.216000000000000,1602112590406,CONVERGED,47.068021469999998,-122.938195829999998,"1",adbc70c1-1dc0-4035-861b-3fc1d5b4fcf3,1115871.962383107049391,31986.719121337126126,
